# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.111596
# Diagonal elements of inverse mass matrix:
# 1.25188, 0.011343, 0.00758529
-87.962,0.999601,0.111596,3,15,0,89.5022,-13.1802,1.00941,1.07032
-86.793,0.99924,0.111596,5,31,0,88.2927,-14.3602,1.09583,1.17349
-86.941,0.995999,0.111596,3,15,0,87.3399,-14.4164,1.11629,1.15056
-87.0648,0.98141,0.111596,5,39,0,87.71,-15.7287,1.18822,1.31375
-87.1319,0.990457,0.111596,4,31,0,87.8697,-15.1228,1.20031,1.19379
-87.8965,0.949736,0.111596,4,15,0,88.1886,-15.2107,1.20074,1.17251
-88.071,1,0.111596,4,31,0,89.6068,-13.6887,1.00741,1.17026
-87.446,0.989349,0.111596,5,31,0,88.4471,-15.3256,1.19796,1.19766
-86.9053,0.937711,0.111596,4,31,0,88.5403,-15.6577,1.19789,1.29137
-89.0886,0.708616,0.111596,2,3,0,89.5544,-15.442,1.20149,1.29708
-88.4888,0.999846,0.111596,3,11,0,89.6646,-15.8683,1.26711,1.28577
-87.7987,0.91456,0.111596,4,19,0,90.8736,-15.7955,1.26656,1.22106
-87.3541,0.925387,0.111596,5,63,0,89.6167,-14.1345,1.0531,1.19294
-87,0.987951,0.111596,5,31,0,88.0996,-14.9712,1.15599,1.18874
-86.7784,0.961903,0.111596,4,27,0,87.894,-15.4559,1.20008,1.23901
-88.0576,0.984477,0.111596,4,15,0,88.1323,-15.4031,1.24091,1.17735
-89.2186,0.931488,0.111596,5,31,0,90.5641,-13.2402,0.929151,1.1429
-88.2024,0.998783,0.111596,4,15,0,89.5578,-13.1367,0.970736,1.08691
-89.4952,0.996372,0.111596,4,15,0,90.0407,-12.694,0.912092,1.09
-88.3969,0.996847,0.111596,4,15,0,90.0343,-13.1765,0.959054,1.10113
-89.2986,0.850853,0.111596,2,5,0,89.9843,-13.1557,0.93773,1.10132
-90.0145,0.999597,0.111596,4,15,0,90.4424,-12.9876,0.922892,1.14252
-86.8497,0.996299,0.111596,5,31,0,91.0438,-14.6284,1.1375,1.18202
-89.7129,0.794666,0.111596,5,31,0,91.776,-14.8046,1.21708,1.17291
-87.7851,0.992929,0.111596,4,31,0,92.5173,-13.5724,1.02104,1.09659
-86.6327,0.736634,0.111596,5,43,0,90.5817,-15.2665,1.15524,1.25363
-87.6986,0.935518,0.111596,5,55,0,88.9649,-13.4301,1.03843,1.07903
-89.1116,0.756451,0.111596,2,7,0,89.8121,-13.3402,1.05372,1.08937
-88.2136,0.999894,0.111596,5,51,0,89.8719,-14.5091,1.15302,1.17892
-87.4567,1,0.111596,3,15,0,88.3938,-14.7882,1.10605,1.19359
-87.9535,0.995346,0.111596,5,31,0,88.8547,-13.6534,1.01801,1.10576
-87.9429,0.951812,0.111596,2,3,0,88.6008,-13.4103,1.03347,1.10043
-87.5447,0.999993,0.111596,3,11,0,88.1436,-13.6151,1.02186,1.10959
-87.0465,0.98782,0.111596,5,63,0,89.8633,-15.7579,1.16991,1.30425
