# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.101181
# Diagonal elements of inverse mass matrix:
# 2.3098, 0.0201026, 0.0144413
-90.2807,0.945414,0.101181,4,15,0,90.9007,-18.3703,1.38075,1.50589
-90.0839,0.864328,0.101181,2,3,0,91.4951,-18.3254,1.39074,1.49133
-90.9681,0.882701,0.101181,3,11,0,92.0932,-18.3998,1.41257,1.53715
-87.1818,0.847777,0.101181,5,35,0,92.6908,-14.5155,1.1326,1.18145
-86.833,0.996434,0.101181,4,27,0,87.6478,-14.9361,1.16043,1.21256
-86.7677,0.941505,0.101181,5,35,0,87.4617,-15.3924,1.16196,1.27812
-87.4454,0.998146,0.101181,4,31,0,88.2429,-14.0489,1.11092,1.1093
-87.1183,0.989697,0.101181,5,47,0,87.9878,-16.046,1.20899,1.33724
-87.6969,0.860995,0.101181,4,31,0,89.7986,-14.796,1.08988,1.27017
-87.228,0.999619,0.101181,3,15,0,87.8181,-15.0496,1.10598,1.24394
-89.3163,0.947646,0.101181,4,31,0,91.3818,-17.6409,1.3505,1.40893
-89.1433,1,0.101181,2,3,0,89.3548,-17.3402,1.35978,1.41953
-89.0532,0.995362,0.101181,3,9,0,90.2442,-17.4637,1.37619,1.41399
-88.8729,0.968043,0.101181,1,3,0,89.3584,-17.6418,1.37341,1.40964
-87.205,0.99981,0.101181,4,15,0,89.0131,-16.2023,1.21286,1.3512
-87.205,0.686792,0.101181,1,3,0,88.4484,-16.2023,1.21286,1.3512
-88.4105,0.675174,0.101181,3,11,0,90.1452,-16.4713,1.23496,1.32556
-87.0919,0.947115,0.101181,2,3,0,88.7148,-16.2513,1.24519,1.32851
-86.7484,0.989143,0.101181,4,23,0,88.0763,-15.1861,1.1385,1.26499
-86.8223,0.981051,0.101181,5,47,0,87.2666,-14.5829,1.10416,1.18314
-87.963,0.835073,0.101181,4,27,0,89.1699,-16.031,1.21866,1.27501
-86.9929,0.9961,0.101181,4,23,0,88.0199,-15.3992,1.21001,1.23674
-88.4442,0.884196,0.101181,3,11,0,90.1498,-15.6119,1.23876,1.19293
-87.3706,0.999322,0.101181,3,15,0,88.7483,-15.7617,1.20044,1.26002
-87.1203,1,0.101181,2,3,0,87.3978,-15.7257,1.19916,1.26208
-88.1562,0.989532,0.101181,5,31,0,89.9884,-16.7772,1.32866,1.34662
-88.5412,0.935136,0.101181,4,15,0,89.1578,-16.8386,1.3548,1.31453
-87.4596,0.929611,0.101181,5,31,0,89.5416,-15.5226,1.24221,1.22454
-87.3118,0.92135,0.101181,3,15,0,88.3148,-15.8246,1.20807,1.26503
-87.6751,0.995259,0.101181,5,39,0,87.9282,-13.9346,1.02928,1.14069
-88.1979,0.950135,0.101181,3,15,0,88.7488,-13.8524,1.07115,1.08167
-88.8101,0.993254,0.101181,5,35,0,89.0989,-16.7664,1.34728,1.3373
-89.6771,1,0.101181,4,15,0,90.2822,-17.6138,1.38828,1.3702
-90.3541,0.970828,0.101181,2,3,0,90.4573,-17.4368,1.42038,1.37834
-88.9795,0.987295,0.101181,4,31,0,91.2848,-16.8239,1.36751,1.31119
-87.1948,0.705355,0.101181,3,11,0,91.1373,-16.3863,1.25267,1.33223
-88.8366,0.970507,0.101181,4,15,0,89.1037,-17.1012,1.37561,1.3369
-89.4754,0.912747,0.101181,4,15,0,90.2784,-16.7845,1.184,1.44646
-88.8914,0.992964,0.101181,4,15,0,89.7975,-16.3969,1.19414,1.42398
-89.687,0.791071,0.101181,1,1,0,89.7475,-16.3149,1.19514,1.42691
-89.0899,1,0.101181,4,15,0,90.1892,-17.1658,1.27436,1.39927
-90.0537,0.967781,0.101181,5,33,0,90.695,-12.7537,0.934729,1.03188
-89.4756,0.83686,0.101181,2,3,0,90.7776,-12.5605,0.954826,1.04632
-88.8016,0.953802,0.101181,2,3,0,89.7483,-12.7919,0.954527,1.04315
-89.3752,0.691511,0.101181,3,15,0,91.8441,-13.5228,1.04112,1.14021
-96.1014,0.632756,0.101181,3,15,0,97.3293,-13.5624,0.937219,1.27056
-94.0746,1,0.101181,1,1,0,96.3053,-13.6358,0.938852,1.26455
-95.0205,0.981514,0.101181,4,31,0,98.2969,-15.6884,1.37577,1.0871
-94.2218,0.849977,0.101181,1,3,0,96.5428,-15.7712,1.35205,1.09846
-87.1635,0.856649,0.101181,4,23,0,95.6446,-16.0704,1.22852,1.32834
-86.7063,0.983878,0.101181,5,47,0,87.5747,-14.6174,1.12315,1.18734
-87.2921,0.788261,0.101181,3,15,0,88.6293,-14.6316,1.06776,1.24678
-88.3976,0.96435,0.101181,4,31,0,89.6859,-15.8696,1.28321,1.2092
-87.9861,0.833271,0.101181,4,31,0,91.3352,-15.3603,1.16075,1.22074
-87.4793,0.979417,0.101181,4,27,0,89.7733,-16.4285,1.2861,1.30509
-87.555,0.964359,0.101181,3,7,0,87.7556,-16.4739,1.29606,1.30861
-88.3921,0.689526,0.101181,2,3,0,89.1385,-16.2439,1.30215,1.30184
-87.8285,0.992931,0.101181,2,3,0,88.3269,-16.4406,1.29272,1.28939
-88.0504,0.915047,0.101181,4,15,0,88.7034,-16.3305,1.22911,1.38281
-87.9412,0.761816,0.101181,2,7,0,89.8811,-16.5237,1.23645,1.39702
-88.5315,0.887018,0.101181,3,15,0,89.4216,-17.0218,1.25702,1.40532
-91.0245,0.998174,0.101181,4,15,0,91.908,-17.8617,1.29044,1.55624
-89.2968,0.953927,0.101181,4,31,0,92.8638,-16.9036,1.20934,1.46658
-88.4224,0.918356,0.101181,5,47,0,90.7812,-15.1375,1.23111,1.14605
-88.5409,0.997367,0.101181,3,7,0,88.6728,-14.977,1.23147,1.1415
-87.959,0.893857,0.101181,3,7,0,89.2602,-15.0443,1.22239,1.16042
-87.1719,0.980371,0.101181,4,23,0,88.4194,-15.3598,1.21933,1.21815
-86.9323,0.991563,0.101181,4,15,0,88.197,-15.8665,1.19332,1.30184
-87.6727,0.994821,0.101181,4,31,0,88.3616,-16.1277,1.17326,1.3669
-87.1941,0.964506,0.101181,3,15,0,88.1461,-16.0785,1.22568,1.29564
-87.7691,0.906197,0.101181,2,7,0,88.0603,-15.9738,1.25727,1.30104
-87.5449,0.968796,0.101181,4,31,0,88.2767,-15.2147,1.11462,1.25395
-90.1718,0.744753,0.101181,3,11,0,90.6998,-15.6044,1.20406,1.19406
-88.8523,0.921562,0.101181,4,19,0,91.5237,-15.9409,1.17954,1.28388
-90.1027,0.680389,0.101181,1,1,0,90.5865,-16.0191,1.17782,1.28326
-93.1245,0.711536,0.101181,4,15,0,96.4693,-14.9673,0.997067,1.28536
-88.1807,0.994434,0.101181,4,31,0,94.9202,-16.761,1.33092,1.34099
-87.4653,0.95183,0.101181,5,47,0,89.0268,-13.9977,1.08401,1.14772
-86.8346,0.934432,0.101181,3,11,0,88.0432,-14.3825,1.10339,1.15999
-88.1937,0.659327,0.101181,4,19,0,90.2243,-14.5573,1.17301,1.15936
-88.9535,0.988201,0.101181,4,15,0,89.1445,-14.696,1.2097,1.14407
-88.7741,1,0.101181,2,3,0,89.0731,-14.928,1.19418,1.12756
-87.3262,1,0.101181,2,7,0,89.5293,-14.6284,1.15361,1.18013
-87.2035,0.999796,0.101181,5,35,0,87.6418,-15.953,1.17803,1.33122
-88.0163,0.995241,0.101181,4,31,0,89.4382,-16.9548,1.26061,1.41454
-88.337,0.939209,0.101181,2,3,0,88.4759,-16.8078,1.27109,1.41529
-88.5051,0.999908,0.101181,5,31,0,88.8901,-17.4746,1.32541,1.43008
-86.807,0.981222,0.101181,4,23,0,90.0091,-15.6896,1.18174,1.28814
-89.5717,0.631197,0.101181,3,15,0,90.4676,-15.2955,1.09183,1.26146
-87.9583,1,0.101181,2,3,0,89.4087,-14.8718,1.12828,1.2601
-89.2759,0.780708,0.101181,2,3,0,89.597,-15.1751,1.10532,1.22896
-86.8604,0.971137,0.101181,4,19,0,89.7063,-15.283,1.19037,1.23817
-87.6517,0.758976,0.101181,4,19,0,88.8358,-14.549,1.08418,1.17495
-87.0022,0.979646,0.101181,4,31,0,88.9124,-16.001,1.20017,1.32802
-86.8215,0.909016,0.101181,5,63,0,88.4286,-14.6804,1.10379,1.22321
-86.6217,0.945777,0.101181,5,39,0,87.2171,-15.2289,1.16619,1.23795
-87.4087,0.935952,0.101181,5,31,0,87.5205,-16.315,1.24596,1.3118
-86.8189,0.995712,0.101181,4,27,0,88.1504,-14.3788,1.08343,1.1778
-87.479,0.912474,0.101181,4,23,0,88.3633,-15.237,1.21352,1.18199
-88.0267,0.956022,0.101181,3,7,0,88.3642,-15.1882,1.22771,1.16095
-87.0165,0.988228,0.101181,4,31,0,88.9451,-14.0707,1.06859,1.15883
-86.6809,0.89344,0.101181,5,39,0,88.3891,-15.1314,1.14097,1.25347
-86.9204,0.987674,0.101181,4,31,0,87.1321,-14.7943,1.09104,1.23332
-86.8654,0.966669,0.101181,3,15,0,88.3753,-14.9602,1.16162,1.21731
-86.914,0.964882,0.101181,2,7,0,87.3862,-15.0974,1.18194,1.19617
-86.6573,0.907626,0.101181,3,15,0,87.4298,-15.2094,1.15575,1.23735
-87.233,0.880675,0.101181,2,7,0,88.1248,-14.9975,1.13412,1.26023
-88.3999,0.871745,0.101181,4,23,0,89.0358,-15.9222,1.22968,1.33381
-87.2608,0.751561,0.101181,2,7,0,92.2692,-16.1178,1.2672,1.28869
-87.3555,0.999632,0.101181,4,23,0,87.637,-16.4891,1.23967,1.36112
-87.7245,0.835341,0.101181,3,11,0,88.5066,-16.616,1.27417,1.33084
-88.1576,0.99213,0.101181,4,15,0,88.6675,-17.248,1.33052,1.40128
-91.8127,0.976429,0.101181,4,15,0,92.1374,-18.3013,1.31235,1.59393
-93.2847,0.806625,0.101181,3,7,0,94.0033,-18.2782,1.30986,1.62
-95.6722,0.837485,0.101181,4,15,0,96.8394,-18.4443,1.24542,1.60829
-93.1278,0.957267,0.101181,2,3,0,95.9922,-18.2256,1.27104,1.61879
-93.4174,0.783945,0.101181,2,7,0,96.916,-18.0901,1.30549,1.60613
-91.9378,0.828214,0.101181,4,31,0,100.496,-16.0559,1.25922,1.20039
-87.4157,1,0.101181,4,15,0,91.4005,-14.7893,1.06639,1.25816
